"Fiscal Year","County","Region","Confirmed Victims","Victims"
"2025","Armstrong","1-Lubbock","Not Confirmed","15"
"2025","Bailey","1-Lubbock","Not Confirmed","26"
"2025","Bailey","1-Lubbock","Confirmed Victim","6"
"2025","Briscoe","1-Lubbock","Not Confirmed","4"
"2025","Briscoe","1-Lubbock","Confirmed Victim","2"
"2025","Carson","1-Lubbock","Not Confirmed","40"
"2025","Carson","1-Lubbock","Confirmed Victim","6"
"2025","Castro","1-Lubbock","Not Confirmed","43"
"2025","Castro","1-Lubbock","Confirmed Victim","19"
"2025","Childress","1-Lubbock","Not Confirmed","31"
"2025","Childress","1-Lubbock","Confirmed Victim","14"
"2025","Cochran","1-Lubbock","Not Confirmed","12"
"2025","Cochran","1-Lubbock","Confirmed Victim","9"
"2025","Collingsworth","1-Lubbock","Not Confirmed","10"
"2025","Collingsworth","1-Lubbock","Confirmed Victim","3"
"2025","Crosby","1-Lubbock","Not Confirmed","47"
"2025","Crosby","1-Lubbock","Confirmed Victim","9"
"2025","Dallam","1-Lubbock","Not Confirmed","67"
"2025","Dallam","1-Lubbock","Confirmed Victim","16"
"2025","Deaf Smith","1-Lubbock","Not Confirmed","155"
"2025","Deaf Smith","1-Lubbock","Confirmed Victim","25"
"2025","Dickens","1-Lubbock","Not Confirmed","21"
"2025","Dickens","1-Lubbock","Confirmed Victim","3"
"2025","Donley","1-Lubbock","Not Confirmed","42"
"2025","Donley","1-Lubbock","Confirmed Victim","8"
"2025","Floyd","1-Lubbock","Not Confirmed","36"
"2025","Floyd","1-Lubbock","Confirmed Victim","6"
"2025","Garza","1-Lubbock","Not Confirmed","40"
"2025","Garza","1-Lubbock","Confirmed Victim","6"
"2025","Gray","1-Lubbock","Not Confirmed","172"
"2025","Gray","1-Lubbock","Confirmed Victim","93"
"2025","Hale","1-Lubbock","Not Confirmed","205"
"2025","Hale","1-Lubbock","Confirmed Victim","94"
"2025","Hall","1-Lubbock","Not Confirmed","24"
"2025","Hall","1-Lubbock","Confirmed Victim","3"
"2025","Hansford","1-Lubbock","Not Confirmed","23"
"2025","Hansford","1-Lubbock","Confirmed Victim","10"
"2025","Hartley","1-Lubbock","Not Confirmed","24"
"2025","Hartley","1-Lubbock","Confirmed Victim","13"
"2025","Hemphill","1-Lubbock","Not Confirmed","11"
"2025","Hemphill","1-Lubbock","Confirmed Victim","4"
"2025","Hockley","1-Lubbock","Not Confirmed","159"
"2025","Hockley","1-Lubbock","Confirmed Victim","52"
"2025","Hutchinson","1-Lubbock","Not Confirmed","161"
"2025","Hutchinson","1-Lubbock","Confirmed Victim","58"
"2025","King","1-Lubbock","Confirmed Victim","1"
"2025","Lamb","1-Lubbock","Not Confirmed","95"
"2025","Lamb","1-Lubbock","Confirmed Victim","29"
"2025","Lipscomb","1-Lubbock","Not Confirmed","24"
"2025","Lipscomb","1-Lubbock","Confirmed Victim","7"
"2025","Lubbock","1-Lubbock","Not Confirmed","2,465"
"2025","Lubbock","1-Lubbock","Confirmed Victim","690"
"2025","Lynn","1-Lubbock","Not Confirmed","44"
"2025","Lynn","1-Lubbock","Confirmed Victim","18"
"2025","Moore","1-Lubbock","Not Confirmed","104"
"2025","Moore","1-Lubbock","Confirmed Victim","55"
"2025","Motley","1-Lubbock","Not Confirmed","13"
